Page_ID,Page_name,Disclaimer,Amount_spent(INR),Number_of_ads_in_Library
1.2144E+14,Bharatiya Janata Party (BJP),Bharatiya Janata Party (BJP),193854342,43455
3.51616E+14,Indian National Congress,Indian National Congress,108787100,846
1.32715E+14,Ama Chinha Sankha Chinha,Ama Chinha Sankha Chinha,73361399,1799
1.92856E+14,Ama Chinha Sankha Chinha,Ama Chinha Sankha Chinha,32294327,680
1.0947E+14,Ellorum Nammudan,Populus Empowerment Network Private Limited,22399499,879
1.40062E+15,BJP Odisha,BJP Odisha,19573782,2152
1.09545E+14,Crafto,Kutumb App,16954562,272
5.7408E+14,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,16358104,1928
2.18905E+14,All India Trinamool Congress,All India Trinamool Congress,15151000,336
7.75975E+14,MyGovIndia,MyGovIndia,14202725,67
1.09938E+14,discovery+,discovery+,13408908,279
1.98749E+15,Mahathugbandhan - महाठगबंधन,Mahathugbandhan - महाठगबंधन,12793073,832
1.92549E+14,MemeXpress,Memes Xpress,11099867,291
1.07026E+14,మన మోదీ,manamodi.com,10814825,2554
2.06213E+14,Political X-Ray,Political X Ray,9327292,426
1.06939E+14,Way2News தமிழ்,way2news,8834392,181
1.02161E+14,Modi Sang Bihar - मोदी संग बिहार,Modi Sang Bihar - मोदी संग बिहार,8648574,1525
1.06462E+14,Meta,Meta India with Facebook Ad Credits,8509170,73
1.13731E+14,Mudde ki Baat - मुद्दे की बात,Mudde Ki Baat,8448419,302
2.8783E+14,Meme Hub,Memes Xpress,7926104,256
1.92137E+14,Telugu Desam Party (TDP),Telugu Desam Party (TDP),7565986,322
2.47945E+14,Amaar Sonar Bangla - আমার সোনার বাংলা,Ulta Chashmaa,7496469,170
1.56331E+15,BJP Andhra Pradesh,BJP Andhra Pradesh,7406091,813
1.17221E+14,Kharge Fan Club,Kharge Fan Club,6982444,793
1.7967E+14,Tamilakam - தமிழகம்,Tamilakam - தமிழகம்,6944096,463
1.92856E+14,Ama Chinha Sankha Chinha,Ama Odisha Nabin Odisha,6757215,154
1.80161E+14,କେତେଦିନ ସହିବା? / Ketedina Sahibaa?,କେତେଦିନ ସହିବା? / Ketedina Sahibaa?,5916621,1525
